config,min_consideration,treat_zero_amount_as_missing,require_named_grantee,require_full_interest,exclude_same_surname,drop_sale_codes,sales,entity_sales,sale_share,units,entity_units,unit_share
default_10k,10000.0,false,true,false,false,"",546257,132349,0.24228339408007585,2199598,1310337,0.5957165809388807
threshold_0,0.0,false,true,false,false,"",964947,205292,0.2127495085222297,3884426,2122263,0.5463517647137569
threshold_1,1.0,false,true,false,false,"",569537,137746,0.24185610416882486,2308307,1354288,0.5867018555157525
threshold_100k,100000.0,false,true,false,false,"",535431,127568,0.238252921478211,2160193,1291325,0.597782235198429
zero_as_missing_10k,10000.0,true,true,false,false,"",941661,199893,0.21227702963168274,3775703,2078306,0.5504421295848747
exclude_same_surname,10000.0,false,true,false,true,"",523483,126296,0.24126093875063756,1987669,1154534,0.5808482196985514
require_full_interest,10000.0,false,true,true,false,"",541893,131035,0.24180972996514072,2147153,1270815,0.591860477571929
exclude_astu,10000.0,false,true,false,false,ASTU,546255,132349,0.24228428115074463,2199595,1310337,0.5957173934292449
exclude_deedo,10000.0,false,true,false,false,DEEDO,534022,128063,0.23980847231012956,2094606,1240112,0.5920502471586542
