owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
corp,9790,19988,1482172,1863727,0.006605171329643254,0.01072474670378226
lender_reo,3549,5445,1482172,1863727,0.0023944589426868135,0.0029215652292422655
partnership,1196,3304,1482172,1863727,0.0008069238927735782,0.0017727918305631672
llc,40038,93995,1482172,1863727,0.027013059213100772,0.050433888654293255
estate,59,71,1482172,1863727,0.000039806446215418996,0.00003809570822336104
individual,1348533,1620887,1482172,1863727,0.9098357005799597,0.8697019466906902
unknown,62682,100159,1482172,1863727,0.04229063833347277,0.053741239999205895
trust,15928,19378,1482172,1863727,0.010746391107104979,0.010397445548623806
coop_corp,397,500,1482172,1863727,0.0002678501550427346,0.00026827963537578195
