owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
lender_reo,241,248,814410,1081055,0.0002959197455826918,0.00022940553440851762
coop_corp,2648,2648,814410,1081055,0.0032514335531243477,0.0024494590932006236
estate,3436,3625,814410,1081055,0.004219005169386427,0.003353205896092243
corp,27678,75169,814410,1081055,0.03398533907982466,0.06953300248368492
partnership,3313,18378,814410,1081055,0.004067975589690696,0.017000060126450552
llc,112393,261760,814410,1081055,0.13800542724180695,0.24213384147892567
unknown,28699,38767,814410,1081055,0.035239007379575395,0.03586034013070565
individual,633246,676146,814410,1081055,0.777551847349615,0.625450138984603
trust,2756,4314,814410,1081055,0.0033840448913937697,0.00399054627192881
