geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Miami Beach,sfr_1_4,partnership,8,8,5722,7149,0.0013981125480601187,0.0011190376276402293
Opa-locka,large_mf,individual,1,216,32,2248,0.03125,0.09608540925266904
Sunny Isles Beach,sfr_1_4,llc,68,71,378,390,0.17989417989417988,0.18205128205128204
Aventura,condo_unit,individual,16698,16698,23019,23019,0.7254007558973022,0.7254007558973022
North Miami,small_mf,partnership,1,11,150,1506,0.006666666666666667,0.0073041168658698535
Homestead,sfr_1_4,unknown,327,381,16905,17770,0.019343389529724933,0.02144063027574564
Miami Beach,small_mf,trust,5,42,695,7228,0.007194244604316547,0.005810736026563365
Palmetto Bay,sfr_1_4,llc,296,323,7247,7369,0.04084448737408583,0.043832270321617586
Hialeah,large_mf,partnership,8,691,226,14358,0.035398230088495575,0.04812648001114361
Pinecrest,large_mf,corp,1,42,4,406,0.25,0.10344827586206896
Sweetwater,small_mf,trust,1,8,29,277,0.034482758620689655,0.02888086642599278
El Portal,sfr_1_4,individual,644,684,736,788,0.875,0.868020304568528
Cutler Bay,sfr_1_4,unknown,552,569,12438,12570,0.04438012542209358,0.045266507557677006
South Miami,condo_unit,unknown,22,22,728,728,0.03021978021978022,0.03021978021978022
West Miami,condo_unit,estate,1,1,83,83,0.012048192771084338,0.012048192771084338
Hialeah Gardens,large_mf,llc,4,420,14,962,0.2857142857142857,0.4365904365904366
Cutler Bay,sfr_1_4,llc,503,535,12438,12570,0.04044058530310339,0.042561654733492445
West Miami,small_mf,individual,1,12,5,51,0.2,0.23529411764705882
Miami Beach,coop_building,coop_corp,598,598,602,602,0.9933554817275747,0.9933554817275747
Palmetto Bay,sfr_1_4,estate,8,8,7247,7369,0.0011039050641644817,0.001085628986293934
Virginia Gardens,sfr_1_4,trust,3,6,513,589,0.005847953216374269,0.010186757215619695
Miami Beach,small_mf,individual,95,952,695,7228,0.1366906474820144,0.13171001660210294
Hialeah,sfr_1_4,partnership,94,101,31710,34986,0.0029643645537685273,0.002886869033327617
Miami,condo_unit,estate,84,84,69788,69788,0.0012036453258439845,0.0012036453258439845
Indian Creek,sfr_1_4,llc,6,7,29,30,0.20689655172413793,0.23333333333333334
Pinecrest,condo_unit,individual,596,596,759,759,0.7852437417654808,0.7852437417654808
Aventura,condo_unit,partnership,20,20,23019,23019,0.0008688474738259698,0.0008688474738259698
Bay Harbor Islands,small_mf,individual,1,12,31,325,0.03225806451612903,0.036923076923076927
Sunny Isles Beach,condo_unit,corp,1657,1657,18631,18631,0.0889377918522892,0.0889377918522892
Hialeah,condo_unit,partnership,26,26,21559,21559,0.0012059928568115405,0.0012059928568115405
Medley,sfr_1_4,llc,3,4,36,41,0.08333333333333333,0.0975609756097561
North Miami Beach,sfr_1_4,partnership,16,17,7288,7972,0.0021953896816684962,0.002132463622679378
North Miami,coop_building,coop_corp,139,139,141,141,0.9858156028368794,0.9858156028368794
