geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
19102,sfr_1_4,trust,2,3,88,108,0.022727272727272728,0.027777777777777776,false
19153,sfr_1_4,unknown,24,28,3731,3932,0.006432591798445457,0.007121057985757884,false
19138,sfr_1_4,llc,1044,1170,11730,12272,0.08900255754475703,0.09533898305084745,false
19122,mixed_use_res,corp,10,10,190,190,0.05263157894736842,0.05263157894736842,false
19130,mixed_use_res,unknown,11,11,265,265,0.04150943396226415,0.04150943396226415,false
19119,sfr_1_4,llc,352,417,8742,9147,0.040265385495309995,0.045588717612331915,false
19144,condo_unit,unknown,12,12,23,23,0.5217391304347826,0.5217391304347826,false
19146,sfr_1_4,partnership,161,209,15145,16278,0.010630571145592604,0.01283941516156776,false
19140,large_mf,corp,2,151,7,553,0.2857142857142857,0.2730560578661845,false
19129,mixed_use_res,partnership,2,2,52,52,0.038461538461538464,0.038461538461538464,false
19144,small_mf,unknown,22,110,182,910,0.12087912087912088,0.12087912087912088,false
19118,mixed_use_res,llc,22,22,102,102,0.21568627450980393,0.21568627450980393,false
19124,sfr_1_4,unknown,192,206,20136,21468,0.009535160905840286,0.009595677287125024,false
19146,small_mf,trust,4,20,173,865,0.023121387283236993,0.023121387283236993,false
19152,large_mf,partnership,9,508,20,1216,0.45,0.41776315789473684,false
19107,mixed_use_res,corp,15,15,291,291,0.05154639175257732,0.05154639175257732,false
19125,condo_unit,trust,9,9,539,539,0.016697588126159554,0.016697588126159554,false
19132,large_mf,unknown,1,51,8,408,0.125,0.125,false
19119,small_mf,trust,1,5,90,450,0.011111111111111112,0.011111111111111112,false
19128,mixed_use_res,individual,85,85,147,147,0.5782312925170068,0.5782312925170068,false
19132,mixed_use_res,trust,8,8,525,525,0.015238095238095238,0.015238095238095238,false
19129,large_mf,partnership,3,300,7,602,0.42857142857142855,0.4983388704318937,false
19119,large_mf,llc,3,153,13,810,0.23076923076923078,0.18888888888888888,false
19102,small_mf,partnership,15,75,69,345,0.21739130434782608,0.21739130434782608,false
19152,large_mf,corp,2,151,20,1216,0.1,0.12417763157894737,false
19103,condo_unit,unknown,54,54,4529,4529,0.011923161845882093,0.011923161845882093,false
19143,sfr_1_4,corp,290,314,22144,24045,0.013096098265895953,0.01305884799334581,false
19125,small_mf,unknown,28,140,196,980,0.14285714285714285,0.14285714285714285,false
19128,sfr_1_4,lender_reo,9,12,11960,12737,0.0007525083612040134,0.0009421370809452775,false
19142,mixed_use_res,llc,47,47,364,364,0.12912087912087913,0.12912087912087913,false
19132,sfr_1_4,partnership,60,75,14508,15152,0.0041356492969396195,0.0049498416050686375,false
19124,mixed_use_res,corp,25,25,489,489,0.05112474437627812,0.05112474437627812,false
19142,small_mf,unknown,1,5,11,55,0.09090909090909091,0.09090909090909091,false
19133,sfr_1_4,lender_reo,11,11,7617,8038,0.0014441381121176316,0.001368499626772829,false
19102,condo_unit,partnership,301,301,1739,1739,0.1730879815986199,0.1730879815986199,false
19104,sfr_1_4,individual,5078,6254,7190,9085,0.7062586926286509,0.6883874518436984,false
19126,sfr_1_4,unknown,19,23,4654,5023,0.0040825096691018475,0.004578936890304599,false
