owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
trust,6828,8237,511336,619738,0.013353255002581473,0.013291100432763523
unknown,5849,15079,511336,619738,0.011438662640612043,0.02433124965711317
coop_corp,4,103,511336,619738,7.82264499272494e-6,0.00016619926485063043
estate,64,70,511336,619738,0.00012516231988359905,0.0001129509566946032
individual,444723,489021,511336,619738,0.8697275372749034,0.7890769970535936
partnership,3458,17944,511336,619738,0.006762676596210711,0.028954170956113714
corp,5323,16895,511336,619738,0.010409984824068715,0.0272615201907903
llc,44272,71451,511336,619738,0.08658103477947963,0.11529226866837276
lender_reo,815,938,511336,619738,0.0015938639172677065,0.001513542819707683
