code,description,source
G7,"UNLICENSED PARKING LOT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
G8,"CAR SALES/RENTAL WITH SHOWROOM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
G9,"MISCELLANEOUS GARAGE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
GU,"CAR SALES OR RENTAL LOTS WITHOUT SHOWROOM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
GW,"CAR WASH OR LUBRITORIUM FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
HB,"BOUTIQUE: 10-100 ROOMS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
HH,"HOSTELS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
HR,"SRO",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
HS,"EXTENDED STAY/SUITE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H1,"LUXURY HOTEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H2,"FULL SERVICE HOTEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H3,"LIMITED SERVICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H4,"MOTEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H5,"HOTEL; PRIVATE CLUB, LUXURY TYPE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H6,"APARTMENT HOTEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H7,"APARTMENT HOTEL - COOPERATIVELY OWNED",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H8,"DORMITORY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
H9,"MISCELLANEOUS HOTEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I1,"HOSPITAL, SANITARIUM, MENTAL INSTITUTION",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I2,"INFIRMARY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I3,"DISPENSARY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I4,"HOSPITAL; STAFF FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I5,"HEALTH CENTER, CHILD CENTER, CLINIC",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I6,"NURSING HOME",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I7,"ADULT CARE FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
I9,"MISCELLANEOUS HOSPITAL, HEALTH CARE FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J1,"THEATRE; ART TYPE LESS THAN 400 SEATS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J2,"THEATRE; ART TYPE MORE THAN 400 SEATS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J3,"MOTION PICTURE THEATRE WITH BALCONY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J4,"LEGITIMATE THEATRE, SOLE USE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
