nta,nta_name,borough,parcels,units,entity_parcels,entity_units,entity_parcel_share,entity_unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_parcels,sfr_condo_entity_units,sfr_condo_entity_unit_share,suppressed
QN0704,Murray Hill-Broadway Flushing,Queens,7334,21234,566,5524,0.07717480229070084,0.26014881793350286,6845,10464,295,579,0.05533256880733945,false
QN0705,East Flushing,Queens,4667,11160,477,2430,0.10220698521534176,0.21774193548387097,4390,7321,317,747,0.10203524108728315,false
QN0706,Queensboro Hill,Queens,4174,6928,257,669,0.06157163392429325,0.09656466512702079,4101,6601,219,451,0.06832298136645963,false
QN0707,Flushing-Willets Point,Queens,1625,29202,562,12032,0.34584615384615386,0.4120265735223615,873,3863,122,667,0.1726637328501165,false
QN0801,Kew Gardens Hills,Queens,3501,13410,323,2907,0.09225935447015139,0.21677852348993287,3364,5097,277,494,0.096919756719639,false
QN0802,Pomonok-Electchester-Hillcrest,Queens,4348,10506,300,1462,0.06899724011039558,0.13915857605177995,4234,6215,241,629,0.10120675784392598,false
QN0803,Fresh Meadows-Utopia,Queens,3611,8133,223,3699,0.06175574633065633,0.4548137218738473,3555,4340,195,298,0.06866359447004608,false
QN0804,Jamaica Estates-Holliswood,Queens,3212,9043,323,3504,0.10056039850560398,0.3874820302996793,3108,3551,267,329,0.09264995775837792,false
QN0805,Jamaica Hills-Briarwood,Queens,3431,13572,336,3435,0.09793063246866802,0.2530946065428824,3178,5315,208,442,0.08316086547507055,false
QN0901,Kew Gardens,Queens,1521,11122,230,4022,0.15121630506245892,0.3616256069052329,1312,2329,120,283,0.1215113782739373,false
QN0902,Richmond Hill,Queens,4533,9894,552,2180,0.12177365982792852,0.22033555690317363,4022,7193,259,567,0.07882663700820242,false
QN0903,South Richmond Hill,Queens,3467,6472,371,1113,0.1070089414479377,0.17197156983930778,3220,5556,228,499,0.08981281497480202,false
QN0904,Ozone Park (North),Queens,3534,7260,378,1078,0.10696095076400679,0.1484848484848485,3263,6303,220,489,0.07758210376011423,false
QN0905,Woodhaven,Queens,5937,12000,481,1922,0.0810173488293751,0.16016666666666668,5507,9143,236,505,0.05523351197637537,false
QN1001,South Ozone Park,Queens,13933,21687,987,2394,0.07083901528744707,0.1103887121316918,13199,19695,590,1089,0.055293221629855296,false
QN1002,Ozone Park,Queens,4139,7292,314,972,0.07586373520173956,0.1332967635765222,3918,6523,174,349,0.05350298942204507,false
QN1003,Howard Beach-Lindenwood,Queens,5191,10696,281,717,0.05413215180119438,0.06703440538519073,5076,7977,226,536,0.06719318039363169,false
QN1101,Auburndale,Queens,8228,12509,416,1543,0.05055906660184735,0.12335118714525542,8039,10865,315,605,0.05568338702254947,false
QN1102,Bayside,Queens,8195,13098,516,1743,0.06296522269676633,0.13307375171781952,7985,10611,397,730,0.0687965319008576,false
QN1103,Douglaston-Little Neck,Queens,5121,9924,257,1132,0.05018551064245265,0.11406690850463523,4998,6491,195,647,0.09967647511939609,false
QN1104,Oakland Gardens-Hollis Hills,Queens,3053,10328,153,905,0.05011464133639044,0.08762587141750582,2985,4139,136,210,0.05073689296931626,false
QN1201,Jamaica,Queens,4200,23685,794,14007,0.18904761904761905,0.5913869537682077,3456,6492,306,1048,0.1614294516327788,false
QN1202,South Jamaica,Queens,6323,11099,531,1263,0.08397912383362328,0.11379403549869357,6060,9623,401,818,0.08500467629637327,false
QN1203,Baisley Park,Queens,8208,12507,487,1420,0.05933235867446394,0.11353641960502119,7998,10970,379,590,0.053783044667274384,false
QN1204,Springfield Gardens (North)-Rochdale Village,Queens,3650,12272,207,869,0.05671232876712329,0.0708116036505867,3598,5444,189,323,0.05933137398971344,false
QN1205,St. Albans,Queens,11551,15471,526,1176,0.04553718292788503,0.07601318596082994,11252,14249,387,602,0.042248578847638434,false
QN1206,Hollis,Queens,3944,7420,273,2280,0.06921906693711967,0.30727762803234504,3701,5046,149,279,0.055291319857312726,false
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,4024,9683,188,588,0.04671968190854871,0.060724981927088716,3946,4273,160,214,0.05008190966534051,false
QN1302,Bellerose,Queens,5497,8549,212,415,0.03856649081317082,0.04854368932038835,5418,6860,184,318,0.04635568513119533,false
QN1303,Queens Village,Queens,11399,15453,523,1908,0.04588121765067111,0.12347117064647642,10964,13419,268,435,0.032416722557567626,false
QN1304,Cambria Heights,Queens,5178,5845,135,222,0.02607184241019699,0.037981180496150554,5145,5729,117,130,0.022691569209286087,false
QN1305,Laurelton,Queens,6224,8057,228,411,0.036632390745501286,0.05101154275785032,6162,7438,203,309,0.04154342565205701,false
QN1306,Springfield Gardens (South)-Brookville,Queens,3913,6107,215,398,0.054945054945054944,0.06517111511380383,3880,5994,190,315,0.052552552552552555,false
QN1307,Rosedale,Queens,5167,7809,245,438,0.04741629572285659,0.05608912792931233,5094,7704,216,384,0.04984423676012461,false
QN1401,Far Rockaway-Bayswater,Queens,5149,20790,855,9689,0.16605166051660517,0.46604136604136603,4916,8362,721,1547,0.18500358765845493,false
QN1402,Rockaway Beach-Arverne-Edgemere,Queens,3388,13994,510,4332,0.15053128689492326,0.3095612405316564,3276,6722,451,995,0.14802142219577508,false
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,4184,12352,258,1857,0.061663479923518165,0.15034002590673576,3990,5881,162,304,0.051691889134500936,false
