nta,nta_name,borough
MN0902,Manhattanville-West Harlem,Manhattan
MN0903,Hamilton Heights-Sugar Hill,Manhattan
MN1001,Harlem (South),Manhattan
MN1002,Harlem (North),Manhattan
MN1101,East Harlem (South),Manhattan
MN1102,East Harlem (North),Manhattan
MN1191,Randall's Island,Manhattan
MN1201,Washington Heights (South),Manhattan
MN1202,Washington Heights (North),Manhattan
MN1203,Inwood,Manhattan
MN1291,Highbridge Park,Manhattan
MN1292,Inwood Hill Park,Manhattan
MN6491,Central Park,Manhattan
QN0101,Astoria (North)-Ditmars-Steinway,Queens
QN0102,Old Astoria-Hallets Point,Queens
QN0103,Astoria (Central),Queens
QN0104,Astoria (East)-Woodside (North),Queens
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens
QN0151,Rikers Island,Bronx
QN0161,Sunnyside Yards (North),Queens
QN0171,St. Michael's Cemetery,Queens
QN0191,Astoria Park,Queens
QN0201,Long Island City-Hunters Point,Queens
QN0202,Sunnyside,Queens
QN0203,Woodside,Queens
QN0261,Sunnyside Yards (South),Queens
QN0271,Calvary & Mount Zion Cemeteries,Queens
QN0301,Jackson Heights,Queens
QN0302,East Elmhurst,Queens
QN0303,North Corona,Queens
QN0401,Elmhurst,Queens
QN0402,Corona,Queens
QN0501,Maspeth,Queens
QN0502,Ridgewood,Queens
QN0503,Glendale,Queens
QN0504,Middle Village,Queens
QN0571,Mount Olivet & All Faiths Cemeteries,Queens
QN0572,Middle Village Cemetery,Queens
QN0573,St. John Cemetery,Queens
QN0574,Highland Park-Cypress Hills Cemeteries (North),Queens
QN0601,Rego Park,Queens
QN0602,Forest Hills,Queens
QN0701,College Point,Queens
QN0702,Whitestone-Beechhurst,Queens
QN0703,Bay Terrace-Clearview,Queens
QN0704,Murray Hill-Broadway Flushing,Queens
QN0705,East Flushing,Queens
QN0706,Queensboro Hill,Queens
QN0707,Flushing-Willets Point,Queens
QN0761,Fort Totten,Queens
QN0791,Kissena Park,Queens
QN0801,Kew Gardens Hills,Queens
QN0802,Pomonok-Electchester-Hillcrest,Queens
QN0803,Fresh Meadows-Utopia,Queens
QN0804,Jamaica Estates-Holliswood,Queens
QN0805,Jamaica Hills-Briarwood,Queens
QN0871,Mount Hebron & Cedar Grove Cemeteries,Queens
QN0891,Cunningham Park,Queens
QN0901,Kew Gardens,Queens
QN0902,Richmond Hill,Queens
QN0903,South Richmond Hill,Queens
QN0904,Ozone Park (North),Queens
QN0905,Woodhaven,Queens
QN1001,South Ozone Park,Queens
QN1002,Ozone Park,Queens
QN1003,Howard Beach-Lindenwood,Queens
QN1091,Spring Creek Park,Queens
QN1101,Auburndale,Queens
QN1102,Bayside,Queens
QN1103,Douglaston-Little Neck,Queens
QN1104,Oakland Gardens-Hollis Hills,Queens
QN1191,Alley Pond Park,Queens
QN1201,Jamaica,Queens
QN1202,South Jamaica,Queens
QN1203,Baisley Park,Queens
QN1204,Springfield Gardens (North)-Rochdale Village,Queens
QN1205,St. Albans,Queens
QN1206,Hollis,Queens
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens
QN1302,Bellerose,Queens
QN1303,Queens Village,Queens
QN1304,Cambria Heights,Queens
QN1305,Laurelton,Queens
QN1306,Springfield Gardens (South)-Brookville,Queens
QN1307,Rosedale,Queens
QN1371,Montefiore Cemetery,Queens
QN1401,Far Rockaway-Bayswater,Queens
QN1402,Rockaway Beach-Arverne-Edgemere,Queens
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens
QN1491,Rockaway Community Park,Queens
QN8081,LaGuardia Airport,Queens
QN8191,Flushing Meadows-Corona Park,Queens
QN8291,Forest Park,Queens
QN8381,John F. Kennedy International Airport,Queens
QN8491,Jamaica Bay (East),Queens
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens
SI0101,St. George-New Brighton,Staten Island
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island
SI0105,Westerleigh-Castleton Corners,Staten Island
SI0106,Port Richmond,Staten Island
SI0107,Mariner's Harbor-Arlington-Graniteville,Staten Island
SI0191,Snug Harbor,Staten Island
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island
SI0202,New Dorp-Midland Beach,Staten Island
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island
SI0291,Freshkills Park (North),Staten Island
SI0301,Oakwood-Richmondtown,Staten Island
SI0302,Great Kills-Eltingville,Staten Island
SI0303,Arden Heights-Rossville,Staten Island
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island
SI0305,Tottenville-Charleston,Staten Island
SI0391,Freshkills Park (South),Staten Island
SI9561,Fort Wadsworth,Staten Island
SI9591,Hoffman & Swinburne Islands,Staten Island
SI9592,Miller Field,Staten Island
SI9593,Great Kills Park,Staten Island
