geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
BK1703,small_mf,unknown,4,51,217,1732,0.018433179723502304,0.029445727482678985,false
MN1001,small_mf,trust,11,79,404,3791,0.027227722772277228,0.020838828805064626,false
MN1202,mixed_use_res,partnership,4,181,227,9502,0.01762114537444934,0.019048621342875185,false
MN1203,condo_unit,llc,1,0,3,101,0.3333333333333333,0.0,false
QN0602,sfr_1_4,llc,322,560,6473,8241,0.049745095010041714,0.0679529183351535,false
BK0702,other_res,individual,4,5,21,29,0.19047619047619047,0.1724137931034483,false
MN0401,coop_building,lender_reo,1,8,223,8058,0.004484304932735426,0.0009928021841648052,false
MN1101,large_mf,individual,9,318,94,4059,0.09574468085106383,0.07834441980783444,false
QN0103,mixed_use_res,unknown,33,382,607,4409,0.054365733113673806,0.08664096166931277,false
MN0303,small_mf,individual,43,352,362,3808,0.11878453038674033,0.09243697478991597,false
BK1602,sfr_1_4,hdfc,14,50,3051,5813,0.004588659455916093,0.00860141063134354,false
BK1402,large_mf,hdfc,1,21,130,6612,0.007692307692307693,0.003176043557168784,false
BX1201,small_mf,individual,44,286,304,2584,0.14473684210526316,0.11068111455108359,false
BK0402,mixed_use_res,trust,14,35,456,2173,0.03070175438596491,0.016106764841233318,false
MN0604,small_mf,hdfc,2,30,72,722,0.027777777777777776,0.04155124653739612,false
MN0202,condo_unit,individual,13,212,25,357,0.52,0.5938375350140056,false
MN0801,condo_unit,individual,10,1178,15,1540,0.6666666666666666,0.7649350649350649,false
MN0102,mixed_use_res,llc,162,3171,424,8933,0.38207547169811323,0.3549759319377589,false
BK1501,sfr_1_4,llc,710,1325,5463,9796,0.12996522057477577,0.13525928950592078,false
BK0902,other_res,corp,1,0,6,1,,,true
BK1203,sfr_1_4,unknown,12,23,2350,4853,0.005106382978723404,0.004739336492890996,false
BK1202,sfr_1_4,corp,87,223,5735,12755,0.015170008718395816,0.017483339866718933,false
BX0603,small_mf,corp,31,347,198,1974,0.15656565656565657,0.1757852077001013,false
BX0101,small_mf,hdfc,13,166,123,1365,0.10569105691056911,0.12161172161172161,false
BX0401,small_mf,llc,106,1076,172,1746,0.6162790697674418,0.6162657502863689,false
