year,building_type,sales,units,entity_sales,entity_units,sale_share,unit_share
2019,condo_unit,24345,24970,1201,1493,0.04933251180940645,0.059791750100120146
2019,coop_building,89,105,3,4,0.033707865168539325,0.0380952380952381
2019,mixed_use_res,471,1781,213,882,0.45222929936305734,0.4952274003368894
2019,other_res,1,1,0,0,0.0,0.0
2019,sfr_1_4,48149,58043,4437,6262,0.09215144655133024,0.10788553313922437
2019,small_mf,1192,9825,763,6347,0.6401006711409396,0.6460050890585242
2020,condo_unit,23176,23482,794,943,0.034259578874697966,0.040158419214717654
2020,coop_building,85,103,2,3,0.023529411764705882,0.02912621359223301
2020,mixed_use_res,371,1319,152,568,0.40970350404312667,0.4306292645943897
2020,other_res,2,2,2,2,1.0,1.0
2020,sfr_1_4,49872,58984,3715,5104,0.07449069618222649,0.08653194086531941
2020,small_mf,992,7863,749,5771,0.7550403225806451,0.7339437873585145
2021,condo_unit,29444,29606,991,992,0.033657111805461215,0.03350672161048436
2021,coop_building,108,128,2,2,0.018518518518518517,0.015625
2021,mixed_use_res,455,1581,232,790,0.5098901098901099,0.49968374446552816
2021,other_res,1,1,1,1,1.0,1.0
2021,sfr_1_4,51087,62051,5134,6978,0.10049523362107778,0.11245588306393128
2021,small_mf,1138,7500,955,6247,0.8391915641476274,0.8329333333333333
2022,condo_unit,26993,27130,1305,1306,0.04834586744711592,0.04813859196461482
2022,coop_building,109,132,2,2,0.01834862385321101,0.015151515151515152
2022,mixed_use_res,505,1788,283,1023,0.5603960396039604,0.5721476510067114
2022,other_res,1,1,0,0,0.0,0.0
2022,sfr_1_4,48076,57948,5490,7305,0.11419419252849655,0.12606129633464486
2022,small_mf,1307,8585,1122,7320,0.8584544758990054,0.8526499708794408
2023,condo_unit,20715,20828,1187,1191,0.057301472363021966,0.05718263875552141
2023,coop_building,111,132,1,1,0.009009009009009009,0.007575757575757576
2023,mixed_use_res,356,1231,189,671,0.5308988764044944,0.545085296506905
2023,other_res,2,2,2,2,1.0,1.0
2023,sfr_1_4,39089,46870,5015,6486,0.1282969633400701,0.13838276082782164
2023,small_mf,828,5457,701,4546,0.8466183574879227,0.8330584570276709
2024,condo_unit,20790,20929,1188,1190,0.05714285714285714,0.056858903913230445
2024,coop_building,112,133,1,1,0.008928571428571428,0.007518796992481203
2024,mixed_use_res,354,1218,189,674,0.5338983050847458,0.5533661740558292
2024,sfr_1_4,37324,45052,4800,6302,0.12860357946629514,0.13988280209535647
2024,small_mf,780,5069,662,4282,0.8487179487179487,0.8447425527717498
2025,condo_unit,20832,20930,1235,1235,0.05928379416282642,0.059006211180124224
2025,coop_building,93,100,3,3,0.03225806451612903,0.03
2025,mixed_use_res,356,1228,203,706,0.5702247191011236,0.5749185667752443
2025,other_res,1,1,1,1,1.0,1.0
2025,sfr_1_4,38201,45960,5360,7127,0.1403104630768828,0.15506962576153177
2025,small_mf,835,5464,711,4575,0.8514970059880239,0.837298682284041
