geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Barrington,mixed_use_res,individual,3,7,11,30,0.2727272727272727,0.23333333333333334
Rogers Park,small_mf,lender_reo,3,19,956,6503,0.0031380753138075313,0.0029217284330309086
Orland,sfr_1_4,corp,139,147,28369,28668,0.004899714477070041,0.005127668480535789
Barrington,mixed_use_res,llc,3,9,11,30,0.2727272727272727,0.3
Barrington,mixed_use_res,trust,1,2,11,30,0.09090909090909091,0.06666666666666667
Palos,mixed_use_res,llc,5,13,67,232,0.07462686567164178,0.05603448275862069
North Chicago,condo_unit,partnership,28,28,47847,47847,0.0005851986540430957,0.0005851986540430957
River Forest,condo_unit,individual,983,983,1042,1042,0.9433781190019194,0.9433781190019194
New Trier,mixed_use_res,llc,15,47,72,232,0.20833333333333334,0.2025862068965517
Northfield,mixed_use_res,llc,1,2,20,64,0.05,0.03125
Hyde Park,other_res,individual,3,3,3,3,1.0,1.0
Rich,sfr_1_4,unknown,910,919,22241,22342,0.04091542646463738,0.041133291558499686
Maine,sfr_1_4,llc,215,235,35046,36041,0.006134794270387491,0.006520351821536583
Jefferson,other_res,individual,2,2,3,3,0.6666666666666666,0.6666666666666666
Bloom,sfr_1_4,partnership,77,77,26764,28215,0.0028769989538185623,0.0027290448343079924
Maine,small_mf,trust,10,67,536,3394,0.018656716417910446,0.019740718915733646
Bloom,small_mf,unknown,16,100,115,733,0.1391304347826087,0.1364256480218281
South Chicago,other_res,individual,4,4,6,6,0.6666666666666666,0.6666666666666666
Wheeling,mixed_use_res,unknown,1,2,38,117,0.02631578947368421,0.017094017094017096
South Chicago,sfr_1_4,unknown,481,784,15189,22425,0.031667654223451185,0.03496098104793757
Maine,condo_unit,individual,11077,11077,11778,11778,0.9404822550517915,0.9404822550517915
Riverside,mixed_use_res,llc,6,20,35,106,0.17142857142857143,0.18867924528301888
Elk Grove,small_mf,trust,2,13,393,2460,0.005089058524173028,0.005284552845528455
Proviso,condo_unit,corp,70,70,3219,3219,0.02174588381484933,0.02174588381484933
Lake,sfr_1_4,estate,12,16,139233,167796,0.0000861864644157635,0.00009535388209492479
Palatine,mixed_use_res,corp,2,6,30,89,0.06666666666666667,0.06741573033707865
Worth,condo_unit,individual,9787,9787,10741,10741,0.9111814542407597,0.9111814542407597
Northfield,mixed_use_res,corp,1,3,20,64,0.05,0.046875
Berwyn,small_mf,lender_reo,5,33,351,2223,0.014245014245014245,0.014844804318488529
Worth,small_mf,trust,10,62,855,5432,0.011695906432748537,0.011413843888070692
